t		0.00	0.42	0.84	1.26	1.68	2.11	2.53	2.95	3.37	3.79	4.21	4.63	5.05	5.47	5.89	6.32	6.74	7.16	7.58	8.00	
---------------------------------------------------------
0.03	|	1.956518	2.276987	3.083235	4.088848	5.078131	5.944721	6.649310	7.180250	7.534657	7.711916	7.711916	7.534657	7.180250	6.649310	5.944721	5.078131	4.088848	3.083235	2.276987	1.956518	
0.03	|	1.994434	2.305899	3.095315	4.088061	5.070891	5.935052	6.638908	7.169663	7.524029	7.701281	7.701281	7.524029	7.169663	6.638908	5.935052	5.070891	4.088061	3.095315	2.305899	1.994434	
0.03	|	2.031305	2.334345	3.107618	4.087650	5.063891	5.925487	6.628539	7.159084	7.513403	7.690646	7.690646	7.513403	7.159084	6.628539	5.925487	5.063891	4.087650	3.107618	2.334345	2.031305	
0.04	|	2.067195	2.362331	3.120112	4.087598	5.057133	5.916029	6.618208	7.148516	7.502780	7.680012	7.680012	7.502780	7.148516	6.618208	5.916029	5.057133	4.087598	3.120112	2.362331	2.067195	
0.04	|	2.102165	2.389866	3.132770	4.087887	5.050614	5.906682	6.607916	7.137959	7.492160	7.669378	7.669378	7.492160	7.137959	6.607916	5.906682	5.050614	4.087887	3.132770	2.389866	2.102165	
0.04	|	2.136269	2.416960	3.145566	4.088502	5.044333	5.897450	6.597666	7.127416	7.481543	7.658746	7.658746	7.481543	7.127416	6.597666	5.897450	5.044333	4.088502	3.145566	2.416960	2.136269	
0.04	|	2.169554	2.443621	3.158479	4.089427	5.038287	5.888336	6.587461	7.116885	7.470929	7.648114	7.648114	7.470929	7.116885	6.587461	5.888336	5.038287	4.089427	3.158479	2.443621	2.169554	
0.04	|	2.202066	2.469860	3.171487	4.090644	5.032474	5.879341	6.577303	7.106371	7.460320	7.637484	7.637484	7.460320	7.106371	6.577303	5.879341	5.032474	4.090644	3.171487	2.469860	2.202066	
0.04	|	2.233844	2.495686	3.184573	4.092140	5.026890	5.870468	6.567195	7.095872	7.449715	7.626855	7.626855	7.449715	7.095872	6.567195	5.870468	5.026890	4.092140	3.184573	2.495686	2.233844	
0.04	|	2.264926	2.521110	3.197721	4.093899	5.021531	5.861719	6.557139	7.085391	7.439116	7.616227	7.616227	7.439116	7.085391	6.557139	5.861719	5.021531	4.093899	3.197721	2.521110	2.264926	
