
Interval size: 0.01
x	 y
3.18	 2.054496
3.19	 2.057073
3.20	 2.059635
3.21	 2.062181
3.22	 2.064712
3.23	 2.067227
3.24	 2.069727
3.25	 2.072212
3.26	 2.074681
3.27	 2.077136
3.28	 2.079575
3.29	 2.082000
3.30	 2.084409
3.31	 2.086804
3.32	 2.089185
3.33	 2.091550
3.34	 2.093901
3.35	 2.096238
3.36	 2.098560
3.37	 2.100868
3.38	 2.103162
3.39	 2.105442
3.40	 2.107707
3.41	 2.109959
3.42	 2.112196
3.43	 2.114420
3.44	 2.116630
3.45	 2.118827
3.46	 2.121009
3.47	 2.123179
3.48	 2.125334
3.49	 2.127477
3.50	 2.129606
3.51	 2.131721
3.52	 2.133824
3.53	 2.135914
3.54	 2.137990
3.55	 2.140054
3.56	 2.142105
3.57	 2.144142
3.58	 2.146168
3.59	 2.148180
3.60	 2.150180
3.61	 2.152167
3.62	 2.154142
3.63	 2.156105
3.64	 2.158055
3.65	 2.159993
3.66	 2.161919
3.67	 2.163833
3.68	 2.165735
3.69	 2.167624
3.70	 2.169502
3.71	 2.171368
3.72	 2.173223
3.73	 2.175065
3.74	 2.176896
3.75	 2.178716
3.76	 2.180523
3.77	 2.182320
3.78	 2.184105
3.79	 2.185879
3.80	 2.187641
3.81	 2.189393
3.82	 2.191133
3.83	 2.192863
3.84	 2.194581
3.85	 2.196288
3.86	 2.197985
3.87	 2.199671
3.88	 2.201346
3.89	 2.203010
3.90	 2.204664
3.91	 2.206307
3.92	 2.207940
3.93	 2.209563
3.94	 2.211175
3.95	 2.212776
3.96	 2.214368
3.97	 2.215949
3.98	 2.217521
3.99	 2.219082
4.00	 2.220633
4.01	 2.222174
4.02	 2.223706
4.03	 2.225227
4.04	 2.226739
4.05	 2.228241
4.06	 2.229734
4.07	 2.231217
4.08	 2.232690
4.09	 2.234154
4.10	 2.235608
4.11	 2.237054
4.12	 2.238489
4.13	 2.239916
4.14	 2.241333
4.15	 2.242742
4.16	 2.244141
4.17	 2.245531
4.18	 2.246912
4.19	 2.248284
4.20	 2.249648
4.21	 2.251002
4.22	 2.252348
4.23	 2.253685
4.24	 2.255013
4.25	 2.256333
4.26	 2.257644
4.27	 2.258947
4.28	 2.260242
4.29	 2.261527
4.30	 2.262805
4.31	 2.264074
4.32	 2.265335
4.33	 2.266588
4.34	 2.267833
4.35	 2.269069
4.36	 2.270298
4.37	 2.271518
4.38	 2.272730
4.39	 2.273935
4.40	 2.275132
4.41	 2.276321
4.42	 2.277502
4.43	 2.278675
4.44	 2.279841
4.45	 2.280999
4.46	 2.282150
4.47	 2.283293
4.48	 2.284428
4.49	 2.285556
4.50	 2.286677
4.51	 2.287790
4.52	 2.288896
4.53	 2.289995
4.54	 2.291087
4.55	 2.292171
4.56	 2.293248
4.57	 2.294319
4.58	 2.295382
4.59	 2.296438
4.60	 2.297487
4.61	 2.298529
4.62	 2.299565
4.63	 2.300593
4.64	 2.301615
4.65	 2.302630
4.66	 2.303638
4.67	 2.304640
4.68	 2.305635
4.69	 2.306624
4.70	 2.307605
4.71	 2.308581
4.72	 2.309550
4.73	 2.310512
4.74	 2.311468
4.75	 2.312418
4.76	 2.313362
4.77	 2.314299
4.78	 2.315230
4.79	 2.316155
4.80	 2.317074
4.81	 2.317986
4.82	 2.318893
4.83	 2.319793
4.84	 2.320688
4.85	 2.321576
4.86	 2.322459
4.87	 2.323336
4.88	 2.324206
4.89	 2.325072
4.90	 2.325931
4.91	 2.326784
4.92	 2.327632
4.93	 2.328474
4.94	 2.329311
4.95	 2.330142
4.96	 2.330967
4.97	 2.331787
4.98	 2.332601
4.99	 2.333410
5.00	 2.334214
5.01	 2.335012

Interval size: 0.05
x	 y
0.00	 1.000000
0.05	 0.982134
0.10	 0.965583
0.15	 0.950700
0.20	 0.937796
0.25	 0.927131
0.30	 0.918918
0.35	 0.913318
0.40	 0.910442
0.45	 0.910352
0.50	 0.913060
0.55	 0.918535
0.60	 0.926706
0.65	 0.937466
0.70	 0.950679
0.75	 0.966185
0.80	 0.983805
0.85	 1.003352
0.90	 1.024628
0.95	 1.047435
1.00	 1.071578
1.05	 1.096866
1.10	 1.123115
1.15	 1.150154
1.20	 1.177820
1.25	 1.205963
1.30	 1.234447
1.35	 1.263147
1.40	 1.291950
1.45	 1.320756
1.50	 1.349476
1.55	 1.378031
1.60	 1.406352
1.65	 1.434379
1.70	 1.462061
1.75	 1.489354
1.80	 1.516221
1.85	 1.542632
1.90	 1.568560
1.95	 1.593985
2.00	 1.618891
2.05	 1.643266
2.10	 1.667100
2.15	 1.690387
2.20	 1.713125
2.25	 1.735311
2.30	 1.756948
2.35	 1.778036
2.40	 1.798580
2.45	 1.818586
2.50	 1.838058
2.55	 1.857005
2.60	 1.875435
2.65	 1.893355
2.70	 1.910775
2.75	 1.927705
2.80	 1.944153
2.85	 1.960130
2.90	 1.975646
2.95	 1.990711
3.00	 2.005335
3.05	 2.019529
3.10	 2.033304
3.15	 2.046669
3.20	 2.059635
3.25	 2.072212
3.30	 2.084409
3.35	 2.096238
3.40	 2.107707
3.45	 2.118827
3.50	 2.129606
3.55	 2.140054
3.60	 2.150180
3.65	 2.159993
3.70	 2.169502
3.75	 2.178716
3.80	 2.187641
3.85	 2.196288
3.90	 2.204664
3.95	 2.212776
4.00	 2.220633
4.05	 2.228241
4.10	 2.235608
4.15	 2.242742
4.20	 2.249648
4.25	 2.256333
4.30	 2.262805
4.35	 2.269069
4.40	 2.275132
4.45	 2.280999
4.50	 2.286677
4.55	 2.292171
4.60	 2.297487
4.65	 2.302630
4.70	 2.307605
4.75	 2.312418
4.80	 2.317074
4.85	 2.321576
4.90	 2.325931
4.95	 2.330142
5.00	 2.334214
5.05	 2.338151

Interval size: 0.2
x	 y
0.00	 1.000000
0.20	 0.937797
0.40	 0.910445
0.60	 0.926711
0.80	 0.983812
1.00	 1.071586
1.20	 1.177827
1.40	 1.291957
1.60	 1.406358
1.80	 1.516227
2.00	 1.618896
2.20	 1.713130
2.40	 1.798584
2.60	 1.875439
2.80	 1.944157
3.00	 2.005339
3.20	 2.059638
3.40	 2.107710
3.60	 2.150183
3.80	 2.187644
4.00	 2.220636
4.20	 2.249650
4.40	 2.275135
4.60	 2.297490
4.80	 2.317076
5.00	 2.334216

Interval size: 0.5
x	 y
0.00	 1.000000
0.50	 0.913193
1.00	 1.071926
1.50	 1.349783
2.00	 1.619126
2.50	 1.838249
3.00	 2.005498
3.50	 2.129750
4.00	 2.220765
4.50	 2.286800
5.00	 2.334331
